INTLW2032425,20200817,2.4500,2.4500,2.3200,2.3200,10351
INTLW2032912,20200817,1.5600,1.5800,1.4300,1.5400,31496
INTLW2032920,20200817,1.8400,1.8400,1.6600,1.6600,2100
INTROL,20200817,2.8000,2.8400,2.6800,2.8400,26701
INTSBCO28035,20200817,32.7500,32.7500,32.0000,32.0000,200
INTSCDR31484,20200817,11.0000,11.3200,10.7000,11.2600,7476
INTSDAX25783,20200817,45.9000,45.9000,45.1500,45.1500,105
INTSDAX25825,20200817,59.3000,59.3000,59.3000,59.3000,60
INTSDAX26591,20200817,71.2000,71.2000,70.5000,70.5000,50
INTSDAX26609,20200817,84.0000,87.4000,83.5000,83.5000,50
INTSDAX27417,20200817,36.1000,36.1000,34.2000,34.2000,360
INTSDAX33548,20200817,22.2500,24.6500,20.9000,22.5500,12954
INTSDOW24067,20200817,97.9000,97.9000,97.9000,97.9000,10
INTSDOW33159,20200817,50.8000,50.8000,49.6500,49.6500,141
INTSESX28878,20200817,13.9400,13.9400,12.9800,12.9800,30
INTSEUD02683,20200817,29.7000,29.7000,29.7000,29.7000,5
INTSEUD03764,20200817,41.4500,41.4500,41.4500,41.4500,40
INTSEUD21246,20200817,18.1600,18.1600,17.0000,17.0000,115
INTSEUR28340,20200817,34.8000,34.8000,34.8000,34.8000,50
INTSGBP31419,20200817,52.4000,52.4000,52.4000,52.4000,40
INTSGLD30882,20200817,87.5000,87.5000,87.5000,87.5000,5
INTSGLD33316,20200817,72.6000,72.6000,61.0000,61.0000,367
INTSGLD33324,20200817,103.8000,103.8000,103.8000,103.8000,50
INTSJSW25957,20200817,14.2400,14.4800,14.2400,14.3600,548
INTSKGH33969,20200817,37.4500,37.8000,37.3000,37.3000,265
INTSNAG27797,20200817,2.1700,2.3300,2.1700,2.3300,128
INTSNDX33191,20200817,26.7500,26.7500,23.7000,24.2500,2221
INTSNDX33209,20200817,38.5000,38.5000,37.9000,37.9000,95
INTSNDX33639,20200817,143.0000,143.0000,143.0000,143.0000,10
INTSNDX33647,20200817,161.2000,161.2000,160.0000,160.0000,50
INTSPGE26989,20200817,2.8700,2.8700,2.8700,2.8700,24
INTSPKO32300,20200817,8.2700,8.2700,8.2500,8.2500,93
INTSPLA25296,20200817,4.9700,5.1500,4.8000,5.1500,5770
INTSSLV33696,20200817,17.6600,17.9000,16.6000,16.6000,4032
INTSSLV33829,20200817,39.2500,39.4000,37.1000,37.1000,86
INTSSPX27144,20200817,5.5000,5.5000,5.2400,5.3300,7827
INTSSPX27383,20200817,12.0600,12.0600,11.9800,11.9800,166
INTSUSD29694,20200817,68.0000,68.0000,68.0000,68.0000,30
INTSUSD32235,20200817,48.9000,49.4500,48.9000,49.4500,160
INTSUSD33852,20200817,18.2200,19.0800,18.2200,18.5400,360
INTSW2020867,20200817,5.2700,5.2700,5.2700,5.2700,200
INTSW2027409,20200817,3.0800,3.0800,3.0800,3.0800,100
INTSW2028464,20200817,1.0500,1.2600,1.0500,1.1800,7652
INTSW2028472,20200817,1.6200,1.7800,1.6200,1.7100,11907
INTSW2028480,20200817,2.2200,2.2200,2.2200,2.2200,2700
INVCEEFIZ,20200817,475.1000,475.1000,475.1000,475.1000,5
INVFIZ,20200817,941.0000,941.0000,941.0000,941.0000,5
INVISTA,20200817,0.3300,0.3300,0.3300,0.3300,200
INVPEFIZ,20200817,701.0000,738.9600,643.3000,703.0100,48
IPOPEMA,20200817,3.7600,3.7600,3.6000,3.7200,9151
ITMTRADE,20200817,0.1520,0.1520,0.1510,0.1520,8216
IZOBLOK,20200817,35.5000,36.1000,35.5000,36.1000,866
IZOLACJA,20200817,1.4500,1.4500,1.4500,1.4500,14
IZOSTAL,20200817,2.6300,2.6300,2.5100,2.5200,33584
JSW,20200817,16.2000,16.7750,16.0250,16.6400,230277
JWCONSTR,20200817,2.8000,2.8000,2.8000,2.8000,26
JWWINVEST,20200817,3.4400,3.4400,3.4000,3.4000,1000
K2INTERNT,20200817,13.0000,14.0000,13.0000,13.6000,3905
KCI,20200817,0.7660,0.7760,0.7340,0.7680,69245
KERNEL,20200817,40.0000,40.2500,39.5000,39.8500,7735
KETY,20200817,478.5000,480.0000,475.0000,478.0000,1192
KGHM,20200817,132.5000,135.9500,132.5000,135.9500,542420
KGL,20200817,14.5000,14.6000,14.2500,14.6000,2077
KINOPOL,20200817,7.1500,7.1500,7.0500,7.1000,1594
